Date,Area,Category,Phase
1980-09-01,0.5683,6,0.7158
1980-09-02,0.5008,6,0.7496
1980-09-03,0.4333,7,0.7834
1980-09-04,0.3658,7,0.8171
1980-09-05,0.2982,7,0.8509
1980-09-06,0.2307,7,0.8846
1980-09-07,0.1632,7,0.9184
1980-09-08,0.0957,0,0.9522
1980-09-09,0.0281,0,0.9859
1980-09-10,0.0393,0,0.0196
1980-09-11,0.1066,0,0.0533
1980-09-12,0.1739,1,0.087
1980-09-13,0.2413,1,0.1206
1980-09-14,0.3086,1,0.1543
1980-09-15,0.376,2,0.188
1980-09-16,0.4433,2,0.2216
1980-09-17,0.5106,2,0.2553
1980-09-18,0.578,3,0.289
1980-09-19,0.6453,3,0.3227
1980-09-20,0.7126,3,0.3563
1980-09-21,0.78,3,0.39
1980-09-22,0.8473,3,0.4237
1980-09-23,0.9147,4,0.4573
1980-09-24,0.982,4,0.491
1980-09-25,0.9507,4,0.5247
1980-09-26,0.8833,4,0.5583
1980-09-27,0.816,5,0.592
1980-09-28,0.7486,5,0.6257
1980-09-29,0.6813,5,0.6593
1980-09-30,0.614,6,0.693
1980-10-01,0.5466,6,0.7267
1980-10-02,0.4793,6,0.7604
1980-10-03,0.412,7,0.794
1980-10-04,0.3446,7,0.8277
1980-10-05,0.2773,7,0.8614
1980-10-06,0.2099,7,0.895
1980-10-07,0.1426,7,0.9287
1980-10-08,0.0753,0,0.9624
1980-10-09,0.0079,0,0.996
1980-10-10,0.0593,0,0.0297
1980-10-11,0.1266,1,0.0633
1980-10-12,0.1938,1,0.0969
1980-10-13,0.261,1,0.1305
1980-10-14,0.3283,1,0.1641
1980-10-15,0.3955,2,0.1978
1980-10-16,0.4627,2,0.2314
1980-10-17,0.53,3,0.265
1980-10-18,0.5972,3,0.2986
1980-10-19,0.6645,3,0.3322
1980-10-20,0.7317,3,0.3658
1980-10-21,0.7989,3,0.3995
1980-10-22,0.8662,3,0.4331
1980-10-23,0.9334,4,0.4667
1980-10-24,0.9994,4,0.5003
1980-10-25,0.9321,4,0.5339
1980-10-26,0.8649,5,0.5676
1980-10-27,0.7976,5,0.6012
1980-10-28,0.7304,5,0.6348
1980-10-29,0.6632,5,0.6684
1980-10-30,0.5959,6,0.702
1980-10-31,0.5287,6,0.7357
1980-11-01,0.4614,7,0.7693
1980-11-02,0.3942,7,0.8029
1980-11-03,0.327,7,0.8365
1980-11-04,0.2597,7,0.8701
1980-11-05,0.1925,7,0.9038
1980-11-06,0.1253,7,0.9374
1980-11-07,0.058,0,0.971
1980-11-08,0.0092,0,0.0046
1980-11-09,0.0765,0,0.0382
1980-11-10,0.1437,1,0.0718
1980-11-11,0.2109,1,0.1055
1980-11-12,0.2782,1,0.1391
1980-11-13,0.3454,1,0.1727
1980-11-14,0.4127,2,0.2063
1980-11-15,0.4799,2,0.2399
1980-11-16,0.5471,3,0.2736
1980-11-17,0.6144,3,0.3072
1980-11-18,0.6816,3,0.3408
1980-11-19,0.7488,3,0.3744
1980-11-20,0.8161,3,0.408
1980-11-21,0.8833,4,0.4417
1980-11-22,0.9506,4,0.4753
1980-11-23,0.9822,4,0.5089
1980-11-24,0.915,4,0.5425
1980-11-25,0.8477,5,0.5761
1980-11-26,0.7805,5,0.6098
1980-11-27,0.7132,5,0.6434
1980-11-28,0.646,5,0.677
1980-11-29,0.5788,6,0.7106
1980-11-30,0.5115,6,0.7442
1980-12-01,0.4443,7,0.7779
1980-12-02,0.3771,7,0.8115
1980-12-03,0.3098,7,0.8451
1980-12-04,0.2426,7,0.8787
1980-12-05,0.1753,7,0.9123
1980-12-06,0.1081,0,0.946
1980-12-07,0.0409,0,0.9796
1980-12-08,0.0264,0,0.0132
1980-12-09,0.0938,0,0.0469
1980-12-10,0.1611,1,0.0805
1980-12-11,0.2284,1,0.1142
1980-12-12,0.2958,1,0.1479
1980-12-13,0.3631,1,0.1816
1980-12-14,0.4304,2,0.2152
1980-12-15,0.4978,2,0.2489
1980-12-16,0.5651,3,0.2826
1980-12-17,0.6325,3,0.3162
1980-12-18,0.6998,3,0.3499
1980-12-19,0.7671,3,0.3836
1980-12-20,0.8345,3,0.4172
1980-12-21,0.9018,4,0.4509
1980-12-22,0.9692,4,0.4846
1980-12-23,0.9635,4,0.5182
1980-12-24,0.8962,4,0.5519
1980-12-25,0.8288,5,0.5856
1980-12-26,0.7615,5,0.6193
1980-12-27,0.6941,5,0.6529
1980-12-28,0.6268,5,0.6866
1980-12-29,0.5595,6,0.7203
1980-12-30,0.4921,6,0.7539
1980-12-31,0.4248,7,0.7876
1981-01-01,0.3575,7,0.8213
1981-01-02,0.2901,7,0.8549
1981-01-03,0.2228,7,0.8886
1981-01-04,0.1554,7,0.9223
1981-01-05,0.0881,0,0.9559
1981-01-06,0.0208,0,0.9896
1981-01-07,0.0467,0,0.0234
1981-01-08,0.1142,0,0.0571
1981-01-09,0.1818,1,0.0909
1981-01-10,0.2493,1,0.1246
1981-01-11,0.3168,1,0.1584
1981-01-12,0.3843,2,0.1922
1981-01-13,0.4519,2,0.2259
1981-01-14,0.5194,2,0.2597
1981-01-15,0.5869,3,0.2935
1981-01-16,0.6544,3,0.3272
1981-01-17,0.722,3,0.361
1981-01-18,0.7895,3,0.3947
1981-01-19,0.857,3,0.4285
1981-01-20,0.9246,4,0.4623
1981-01-21,0.9921,4,0.496
1981-01-22,0.9404,4,0.5298
1981-01-23,0.8729,5,0.5636
1981-01-24,0.8053,5,0.5973
1981-01-25,0.7378,5,0.6311
1981-01-26,0.6703,5,0.6649
1981-01-27,0.6028,6,0.6986
1981-01-28,0.5352,6,0.7324
1981-01-29,0.4677,7,0.7661
1981-01-30,0.4002,7,0.7999
1981-01-31,0.3327,7,0.8337
1981-02-01,0.2651,7,0.8674
1981-02-02,0.1976,7,0.9012
1981-02-03,0.1301,7,0.935
1981-02-04,0.0625,0,0.9687
1981-02-05,0.005,0,0.0025
1981-02-06,0.0728,0,0.0364
1981-02-07,0.1405,1,0.0703
1981-02-08,0.2083,1,0.1042
1981-02-09,0.2761,1,0.138
1981-02-10,0.3438,1,0.1719
1981-02-11,0.4116,2,0.2058
1981-02-12,0.4794,2,0.2397
1981-02-13,0.5472,3,0.2736
1981-02-14,0.6149,3,0.3075
1981-02-15,0.6827,3,0.3413
1981-02-16,0.7505,3,0.3752
1981-02-17,0.8182,3,0.4091
1981-02-18,0.886,4,0.443
1981-02-19,0.9538,4,0.4769
1981-02-20,0.9785,4,0.5108
1981-02-21,0.9107,4,0.5447
1981-02-22,0.8429,5,0.5785
1981-02-23,0.7752,5,0.6124
1981-02-24,0.7074,5,0.6463
1981-02-25,0.6396,5,0.6802
1981-02-26,0.5718,6,0.7141
1981-02-27,0.5041,6,0.748
1981-02-28,0.4363,7,0.7818
1981-03-01,0.3685,7,0.8157
1981-03-02,0.3008,7,0.8496
1981-03-03,0.233,7,0.8835
1981-03-04,0.1652,7,0.9174
1981-03-05,0.0975,0,0.9513
1981-03-06,0.0297,0,0.9852
1981-03-07,0.0382,0,0.0191
1981-03-08,0.1062,0,0.0531
1981-03-09,0.1742,1,0.0871
1981-03-10,0.2422,1,0.1211
1981-03-11,0.3102,1,0.1551
1981-03-12,0.3782,2,0.1891
1981-03-13,0.4463,2,0.2231
1981-03-14,0.5143,2,0.2571
1981-03-15,0.5823,3,0.2911
1981-03-16,0.6503,3,0.3251
1981-03-17,0.7183,3,0.3591
1981-03-18,0.7863,3,0.3931
1981-03-19,0.8543,3,0.4271
1981-03-20,0.9223,4,0.4612
1981-03-21,0.9903,4,0.4952
